study,name,label,label_de,description,description_de
scp,track,Tracking Data,Struktur-/Pfad-Daten,Essential files to track persons or household over time,
scp,org/gross,Gross Data,Brutto-Daten,"Information on gross sample, mostly from the field work",
scp,org/net,Original Survey Data (Net Sample),Fragebogendaten (netto),"Information from succesfull interviewed respondents, mostly based on a questionnaire",
scp,survey,Method Data,Methodendaten,Dataset describing the survey design or weighting scheme,
scp,gen,Generated Data,Generierte Daten,"Generated data, checked for longitudinally consistency",
scp,gen/bio,Gen. Biographical Data,Generierte Bio-Daten,"Generated biographical data, checked for longitudinally consistency",
scp,spell,Spell,,Spell data,
scp,raw,Raw Data (Undistributed),Rohdaten (nicht veröffentlicht),Undistributed original datasets,
