study,name,label,label_de,description,description_de,analysis_unit,conceptual_dataset,period,primary_key,folder,dollar_dataset,minedition
scp,pgen,Person-related Status and Generated Variables,Personenbezogene generierte Variablen,,,p,gen,0,,,,onsite
scp,hgen,Household-related Status and Generated Variables,Haushaltsbezogene generierte Variablen,,,h,gen,0,,,,onsite
scp,p,Variables from the Individual Question Module,Variablen aus dem individuellen Fragenmodul,,,p,org/net,0,,,,onsite
scp,h,Variables from the Household Question Module,Variablen aus dem Haushaltsfragenmodul,,,h,org/net,0,,,,onsite
scp,phrf,Person-related Weighting and Staying Probabilities,Personenbezogene Gewichte und Bleibewahrscheinlichkeiten,,,p,gen,0,,,,onsite
scp,hhrf,Household-related Weighting and Staying Probabilities,Haushaltsbezogene Gewichte und Bleibewahrscheinlichkeiten,,,h,gen,0,,,,onsite
scp,ppath,Person-related Meta Dataset,Personenbezogene Metadaten,,,p,track,0,,,,onsite
scp,pbrutto,Person-related Gross Data,Personenbezogene Bruttodaten,,,p,org/gross,0,,,,onsite
