type,study,dataset,variable,instrument,question,url,url_text
dataset,scp,p,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_P_en.pdf,PDF codebook (en)
dataset,scp,p,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_P_de.pdf,PDF codebook (de)
dataset,scp,h,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_H_en.pdf,PDF codebook (en)
dataset,scp,h,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_H_de.pdf,PDF codebook (de)
dataset,scp,pgen,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_PGEN_en.pdf,PDF codebook (en)
dataset,scp,pgen,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_PGEN_de.pdf,PDF codebook (de)
dataset,scp,hgen,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_HGEN_en.pdf,PDF codebook (en)
dataset,scp,hgen,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_HGEN_de.pdf,PDF codebook (de)
dataset,scp,phrf,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_PHRF_en.pdf,PDF codebook (en)
dataset,scp,phrf,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_PHRF_de.pdf,PDF codebook (de)
dataset,scp,hhrf,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_HHRF_en.pdf,PDF codebook (en)
dataset,scp,hhrf,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_HHRF_de.pdf,PDF codebook (de)
dataset,scp,ppath,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_PPATH_en.pdf,PDF codebook (en)
dataset,scp,ppath,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_PPATH_de.pdf,PDF codebook (de)
dataset,scp,pbrutto,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_PBRUTTO_en.pdf,PDF codebook (en)
dataset,scp,pbrutto,,,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Codebooks/SCP_W1_C_PBRUTTO_de.pdf,PDF codebook (de)
instrument,scp,,,2021_1,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Supplement/SCP_W1_PAPI_T1_AP_de.pdf,PDF of paper questionnaire (de)
instrument,scp,,,2021_1,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Supplement/SCP_W1_PAPI_T1_HM_de.pdf,PDF of paper questionnaire (de)
instrument,scp,,,2021_1,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Questionnaires/SCP_W1_Q_T1_en.pdf,PDF with reference to variables (en)
instrument,scp,,,2021_1,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Questionnaires/SCP_W1_Q_T1_de.pdf,PDF with reference to variables (de)
instrument,scp,,,2021_2,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Supplement/SCP_W1_PAPI_T2_AP_de.pdf,PDF of paper questionnaire (de)
instrument,scp,,,2021_2,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Supplement/SCP_W1_PAPI_T2_HM_de.pdf,PDF of paper questionnaire (de)
instrument,scp,,,2021_2,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Questionnaires/SCP_W1_Q_T2_en.pdf,PDF with reference to variables (en)
instrument,scp,,,2021_2,,https://fgz-risc-data.de/f/e/source/Datenportal/Documentation%20SCP%20W1/Questionnaires/SCP_W1_Q_T2_de.pdf,PDF with reference to variables (de)
