study,dataset,name,concept,description,description_de,label,label_de,version,template_id,type,case_sensitive_name,categories,categories_de
scp,h,hid,,"This identifier groups all individuals into their respective households at the time of the most recent wave (i.e. a person's HID can change over time, for example if an adult child moves out of their parents' home and starts their own household).","Diese Kennziffer gruppiert Individuen in ihre zugehörigen Haushalte zum Zeitpunkt der aktuellen Erhebungswelle. Das bedeutet, dass die HID einer Person sich über die Zeit verändern kann, zum Beispiel wenn ein erwachsenes Kind aus dem elterlichen Haushalt auszieht und einen eigenen Haushalt eröffnet.",Current Household ID,Aktuelle Haushalts-ID,2022,,long,,,
scp,h,cid,,"This identifier groups individuals into their original households at the start of the panel. That means that a person's CID is time-constant and will always relate them back to the household they initially belonged to, even if they moved out since.","Diese Kennziffer gruppiert Individuen in ihre Ursprungshaushalte zu Beginn des Panels. Das bedeutet, dass die CID einer Person zeitkonstant gehalten wird und sie immer mit dem Haushalt verbinden wird, zu dem sie initial gehört hat, selbst wenn sie seitdem den Haushalt gewechselt hat.",Original Household ID,Ursprüngliche Haushalts-ID,2022,,long,,,
scp,h,wave,,This variable identifies the (partial) wave in which the data collection took place.,"Diese Variable identifiziert die (Teil-)Welle, in der die Datenerhebung stattgefunden hat.",Survey Wave,Erhebungswelle,2022,,byte,,,
scp,h,hghmode,,"The survey mode is determined by the technology respondents use to fill out a questionnaire. To prevent duplications, if respondents submit a questionnaire via multiple modes, priority is given to the data they provided via the web.","Der Erhebungsmodus wird durch die Technologie festgelegt, mittels derer die Befragten an einer Datenerhebung teilnehmen. Wenn Befragte einen Fragebogen in mehr als einem Modus einreichen, wird den Online-Daten der Vorzug gegeben, um Dopplungen in den Daten zu vermeiden.",Survey Mode,Erhebungsmodus,2022,,int,,,
scp,h,ankerwechsel,,"ANKERWECHSEL indicates if the respondent type of a person changes over time. If the original anchor person (AP) leaves the household or refuses further interviews, a household member (HM) or new household member (NHM) of the same household is designated as the new AP. Similarly, after leaving the original household, an HM or NHM who was included in the panel becomes the AP of the new household in the following wave, unless this role is filled by another member of the household.","ANKERWECHSEL zeigt an, wenn sich der Befragtentyp einer Person über die Zeit hinweg ändert. Wenn die ursprüngliche Ankerperson (AP) den Haushalt verlässt oder weitere Befragungen verweigert, wird ein Haushaltsmitglied (HM) oder neues Haushaltsmitglied (NHM) desselben Haushalts zur neuen AP bestimmt. Ebenso wird ein HM oder NHM, das ins Panel aufgenommen wurde, nach Verlassen des ursprünglichen Haushalts in der darauffolgenden Welle zur AP des neuen Haushalts, sofern diese Rolle nicht von einem anderen Mitglied des Haushalts ausgefüllt wird.",HH survey respondent,Wechsel-AP,2022,,byte,,,
scp,h,interviewyear,,,,Interview: year,Interview: Jahr,2022,,byte,,,
scp,h,interviewmonth,,,,Interview: month,Interview: Monat,2022,,byte,,,
scp,h,interviewday,,,,Interview: day,Interview: Tag,2022,,byte,,,
scp,h,interviewsprache,,,,Interview: language,Interview: Sprache,2022,,byte,,,
scp,h,intvollst,,,,Interview: compl.,Interview: Vollst.,2022,,byte,,,
scp,h,hhhtyp,,,,HH type (response by AP),HH-Typ (Angabe der AP),2022,,byte,,,
scp,h,hhhsize,,,,HH size (response by AP),HH-Größe (Angabe der AP),2022,,byte,,,
scp,h,hhhage01,,,,Number HH members 18+ years (response by AP),Anzahl HH-Mitglieder 18+ J. (Angabe der AP),2022,,byte,,,
scp,h,hhhage02,,,,Number HH members <14 years (response by AP),Anzahl HH-Mitglieder <14 J. (Angabe der AP),2022,,byte,,,
scp,h,hhhage03,,,,No HH member <14 years (response by AP),Keine HH-Mitglieder <14 J. (Angabe der AP),2022,,byte,,,
scp,h,hpname01,,,,1. HM: first name,1. HM: Vorname,2022,,byte,,,
scp,h,hpsex01,,,,1. HM: gender,1. HM: Geschlecht,2022,,byte,,,
scp,h,hprelat01,,,,1. HM: relat. to anchor,1. HM: Bez. zum Anker,2022,,byte,,,
scp,h,hpbmnth01,,,,1. HM: birth month,1. HM: Geburtsmonat,2022,,byte,,,
scp,h,hpbyear01,,Birth years 1921 and earlier were combined into one category for data protection reasons.,Geburtsjahre 1921 und früher wurden aus Datenschutzgründen zu einer Kategorie zusammengefasst.,1. HM: birth year,1. HM: Geburtsjahr,2022,,byte,,,
scp,h,hpall01_v1,,,,1. HM: additional HH member? [W1T1] [only CAWI],1. HM: weiteres HH-Mitglied? [W1T1] [nur CAWI],2022,,byte,,,
scp,h,hpall01_v2,,,,1. HM: additional HH member? [since W2] [only CAWI],1. HM: weiteres HH-Mitglied? [seit W2] [nur CAWI],2022,,byte,,,
scp,h,hpname02,,,,2. HM: first name,2. HM: Vorname,2022,,byte,,,
scp,h,hpsex02,,,,2. HM: gender,2. HM: Geschlecht,2022,,byte,,,
scp,h,hprelat02,,,,2. HM: relat. to anchor,2. HM: Bez. zum Anker,2022,,byte,,,
scp,h,hpbmnth02,,,,2. HM: birth month,2. HM: Geburtsmonat,2022,,byte,,,
scp,h,hpbyear02,,Birth years 1921 and earlier were combined into one category for data protection reasons.,Geburtsjahre 1921 und früher wurden aus Datenschutzgründen zu einer Kategorie zusammengefasst.,2. HM: birth year,2. HM: Geburtsjahr,2022,,byte,,,
scp,h,hpall02_v1,,,,2. HM: additional HH member? [W1T1] [only CAWI],2. HM: weiteres HH-Mitglied? [W1T1] [nur CAWI],2022,,byte,,,
scp,h,hpall02_v2,,,,2. HM: additional HH member? [since W2] [only CAWI],2. HM: weiteres HH-Mitglied? [seit W2] [nur CAWI],2022,,byte,,,
scp,h,hpname03,,,,3. HM: first name,3. HM: Vorname,2022,,byte,,,
scp,h,hpsex03,,,,3. HM: gender,3. HM: Geschlecht,2022,,byte,,,
