input_study,input_dataset,input_version,input_variable,output_study,output_dataset,output_version,output_variable
scp,p_2021_1,2021_1,hprelat06,scp,h,2021_1,hprelat06
scp,p_2021_1,2021_1,hpbmnth06,scp,h,2021_1,hpbmnth06
scp,p_2021_1,2021_1,hpbyear06,scp,h,2021_1,hpbyear06
scp,p_2021_1,2021_1,hpall06,scp,h,2021_1,hpall06
scp,p_2021_1,2021_1,hpname07,scp,h,2021_1,hpname07
scp,p_2021_1,2021_1,hpsex07,scp,h,2021_1,hpsex07
scp,p_2021_1,2021_1,hprelat07,scp,h,2021_1,hprelat07
scp,p_2021_1,2021_1,hpbmnth07,scp,h,2021_1,hpbmnth07
scp,p_2021_1,2021_1,hpbyear07,scp,h,2021_1,hpbyear07
scp,p_2021_1,2021_1,hpall07,scp,h,2021_1,hpall07
scp,p_2021_1,2021_1,hpname08,scp,h,2021_1,hpname08
scp,p_2021_1,2021_1,hpsex08,scp,h,2021_1,hpsex08
scp,p_2021_1,2021_1,hprelat08,scp,h,2021_1,hprelat08
scp,p_2021_1,2021_1,hpbmnth08,scp,h,2021_1,hpbmnth08
scp,p_2021_1,2021_1,hpbyear08,scp,h,2021_1,hpbyear08
scp,p_2021_1,2021_1,hpall08,scp,h,2021_1,hpall08
scp,p_2021_1,2021_1,hpname09,scp,h,2021_1,hpname09
scp,p_2021_1,2021_1,hpsex09,scp,h,2021_1,hpsex09
scp,p_2021_1,2021_1,hprelat09,scp,h,2021_1,hprelat09
scp,p_2021_1,2021_1,hpbmnth09,scp,h,2021_1,hpbmnth09
scp,p_2021_1,2021_1,hpbyear09,scp,h,2021_1,hpbyear09
scp,p_2021_1,2021_1,hpall09,scp,h,2021_1,hpall09
scp,p_2021_1,2021_1,hpname10,scp,h,2021_1,hpname10
scp,p_2021_1,2021_1,hpsex10,scp,h,2021_1,hpsex10
scp,p_2021_1,2021_1,hprelat10,scp,h,2021_1,hprelat10
scp,p_2021_1,2021_1,hpbmnth10,scp,h,2021_1,hpbmnth10
scp,p_2021_1,2021_1,hpbyear10,scp,h,2021_1,hpbyear10
scp,p_2021_1,2021_1,hpall10,scp,h,2021_1,hpall10
scp,p_2021_1,2021_1,hpname11,scp,h,2021_1,hpname11
scp,p_2021_1,2021_1,hpsex11,scp,h,2021_1,hpsex11
scp,p_2021_1,2021_1,hprelat11,scp,h,2021_1,hprelat11
scp,p_2021_1,2021_1,hpbmnth11,scp,h,2021_1,hpbmnth11
scp,p_2021_1,2021_1,hpbyear11,scp,h,2021_1,hpbyear11
scp,p_2021_1,2021_1,hpall11,scp,h,2021_1,hpall11
scp,p_2021_1,2021_1,hpname12,scp,h,2021_1,hpname12
scp,p_2021_1,2021_1,hpsex12,scp,h,2021_1,hpsex12
scp,p_2021_1,2021_1,hprelat12,scp,h,2021_1,hprelat12
scp,p_2021_1,2021_1,hpbmnth12,scp,h,2021_1,hpbmnth12
scp,p_2021_1,2021_1,hpbyear12,scp,h,2021_1,hpbyear12
scp,p_2021_1,2021_1,hpall12,scp,h,2021_1,hpall12
scp,p_2021_1,2021_1,pgmode,scp,h,2021_2,hghmode
scp,p_2021_1,2021_1,interviewdatum,scp,h,2021_2,interviewyear
scp,p_2021_1,2021_1,interviewdatum,scp,h,2021_2,interviewmonth
scp,p_2021_1,2021_1,interviewdatum,scp,h,2021_2,interviewday
scp,p_2021_1,2021_1,interviewsprache,scp,h,2021_2,interviewsprache
scp,p_2021_1,2021_1,intvollst,scp,h,2021_2,intvollst
scp,p_2021_1,2021_1,phhtyp,scp,h,2021_2,hhhtyp
scp,p_2021_1,2021_1,phhsize,scp,h,2021_2,hhhsize
scp,p_2021_1,2021_1,phhage01,scp,h,2021_2,hhhage01
scp,p_2021_1,2021_1,phhage02,scp,h,2021_2,hhhage02
scp,p_2021_1,2021_1,phhage03,scp,h,2021_2,hhhage03
scp,p_2021_1,2021_1,phhincnet,scp,h,2021_2,hhhincnet
scp,p_2021_1,2021_1,phhbasup,scp,h,2021_2,hhhbasup
scp,p_2021_1,2021_1,hpname01,scp,h,2021_2,hpname01
scp,p_2021_1,2021_1,hpsex01,scp,h,2021_2,hpsex01
scp,p_2021_1,2021_1,hprelat01,scp,h,2021_2,hprelat01
scp,p_2021_1,2021_1,hpbmnth01,scp,h,2021_2,hpbmnth01
scp,p_2021_1,2021_1,hpbyear01,scp,h,2021_2,hpbyear01
scp,p_2021_1,2021_1,hpall01,scp,h,2021_2,hpall01
scp,p_2021_1,2021_1,hpname02,scp,h,2021_2,hpname02
scp,p_2021_1,2021_1,hpsex02,scp,h,2021_2,hpsex02
scp,p_2021_1,2021_1,hprelat02,scp,h,2021_2,hprelat02
scp,p_2021_1,2021_1,hpbmnth02,scp,h,2021_2,hpbmnth02
scp,p_2021_1,2021_1,hpbyear02,scp,h,2021_2,hpbyear02
scp,p_2021_1,2021_1,hpall02,scp,h,2021_2,hpall02
scp,p_2021_1,2021_1,hpname03,scp,h,2021_2,hpname03
scp,p_2021_1,2021_1,hpsex03,scp,h,2021_2,hpsex03
scp,p_2021_1,2021_1,hprelat03,scp,h,2021_2,hprelat03
scp,p_2021_1,2021_1,hpbmnth03,scp,h,2021_2,hpbmnth03
scp,p_2021_1,2021_1,hpbyear03,scp,h,2021_2,hpbyear03
scp,p_2021_1,2021_1,hpall03,scp,h,2021_2,hpall03
scp,p_2021_1,2021_1,hpname04,scp,h,2021_2,hpname04
scp,p_2021_1,2021_1,hpsex04,scp,h,2021_2,hpsex04
scp,p_2021_1,2021_1,hprelat04,scp,h,2021_2,hprelat04
scp,p_2021_1,2021_1,hpbmnth04,scp,h,2021_2,hpbmnth04
scp,p_2021_1,2021_1,hpbyear04,scp,h,2021_2,hpbyear04
scp,p_2021_1,2021_1,hpall04,scp,h,2021_2,hpall04
scp,p_2021_1,2021_1,hpname05,scp,h,2021_2,hpname05
scp,p_2021_1,2021_1,hpsex05,scp,h,2021_2,hpsex05
scp,p_2021_1,2021_1,hprelat05,scp,h,2021_2,hprelat05
scp,p_2021_1,2021_1,hpbmnth05,scp,h,2021_2,hpbmnth05
scp,p_2021_1,2021_1,hpbyear05,scp,h,2021_2,hpbyear05
scp,p_2021_1,2021_1,hpall05,scp,h,2021_2,hpall05
scp,p_2021_1,2021_1,hpname06,scp,h,2021_2,hpname06
scp,p_2021_1,2021_1,hpsex06,scp,h,2021_2,hpsex06
scp,p_2021_1,2021_1,hprelat06,scp,h,2021_2,hprelat06
scp,p_2021_1,2021_1,hpbmnth06,scp,h,2021_2,hpbmnth06
scp,p_2021_1,2021_1,hpbyear06,scp,h,2021_2,hpbyear06
scp,p_2021_1,2021_1,hpall06,scp,h,2021_2,hpall06
scp,p_2021_1,2021_1,hpname07,scp,h,2021_2,hpname07
scp,p_2021_1,2021_1,hpsex07,scp,h,2021_2,hpsex07
scp,p_2021_1,2021_1,hprelat07,scp,h,2021_2,hprelat07
scp,p_2021_1,2021_1,hpbmnth07,scp,h,2021_2,hpbmnth07
scp,p_2021_1,2021_1,hpbyear07,scp,h,2021_2,hpbyear07
scp,p_2021_1,2021_1,hpall07,scp,h,2021_2,hpall07
scp,p_2021_1,2021_1,hpname08,scp,h,2021_2,hpname08
scp,p_2021_1,2021_1,hpsex08,scp,h,2021_2,hpsex08
scp,p_2021_1,2021_1,hprelat08,scp,h,2021_2,hprelat08
scp,p_2021_1,2021_1,hpbmnth08,scp,h,2021_2,hpbmnth08
scp,p_2021_1,2021_1,hpbyear08,scp,h,2021_2,hpbyear08
scp,p_2021_1,2021_1,hpall08,scp,h,2021_2,hpall08
scp,p_2021_1,2021_1,hpname09,scp,h,2021_2,hpname09
scp,p_2021_1,2021_1,hpsex09,scp,h,2021_2,hpsex09
scp,p_2021_1,2021_1,hprelat09,scp,h,2021_2,hprelat09
scp,p_2021_1,2021_1,hpbmnth09,scp,h,2021_2,hpbmnth09
scp,p_2021_1,2021_1,hpbyear09,scp,h,2021_2,hpbyear09
scp,p_2021_1,2021_1,hpall09,scp,h,2021_2,hpall09
scp,p_2021_1,2021_1,hpname10,scp,h,2021_2,hpname10
scp,p_2021_1,2021_1,hpsex10,scp,h,2021_2,hpsex10
scp,p_2021_1,2021_1,hprelat10,scp,h,2021_2,hprelat10
scp,p_2021_1,2021_1,hpbmnth10,scp,h,2021_2,hpbmnth10
scp,p_2021_1,2021_1,hpbyear10,scp,h,2021_2,hpbyear10
scp,p_2021_1,2021_1,hpall10,scp,h,2021_2,hpall10
scp,p_2021_1,2021_1,hpname11,scp,h,2021_2,hpname11
scp,p_2021_1,2021_1,hpsex11,scp,h,2021_2,hpsex11
scp,p_2021_1,2021_1,hprelat11,scp,h,2021_2,hprelat11
scp,p_2021_1,2021_1,hpbmnth11,scp,h,2021_2,hpbmnth11
scp,p_2021_1,2021_1,hpbyear11,scp,h,2021_2,hpbyear11
scp,p_2021_1,2021_1,hpall11,scp,h,2021_2,hpall11
scp,p_2021_1,2021_1,hpname12,scp,h,2021_2,hpname12
scp,p_2021_1,2021_1,hpsex12,scp,h,2021_2,hpsex12
scp,p_2021_1,2021_1,hprelat12,scp,h,2021_2,hprelat12
scp,p_2021_1,2021_1,hpbmnth12,scp,h,2021_2,hpbmnth12
scp,p_2021_1,2021_1,hpbyear12,scp,h,2021_2,hpbyear12
scp,p_2021_1,2021_1,hpall12,scp,h,2021_2,hpall12
scp,p_2021_2,2021_2,pgmode,scp,h,2021_2,hghmode
scp,p_2021_2,2021_2,ankerwechsel,scp,h,2021_2,ankerwechsel
scp,p_2021_2,2021_2,interviewdatum,scp,h,2021_2,interviewyear
scp,p_2021_2,2021_2,interviewdatum,scp,h,2021_2,interviewmonth
scp,p_2021_2,2021_2,interviewdatum,scp,h,2021_2,interviewday
scp,p_2021_2,2021_2,interviewsprache,scp,h,2021_2,interviewsprache
scp,p_2021_2,2021_2,intvollst,scp,h,2021_2,intvollst
scp,h_2021_2,2021_2,hhhsize,scp,h,2021_2,hhhsize
scp,h_2021_2,2021_2,hhhage01,scp,h,2021_2,hhhage01
scp,h_2021_2,2021_2,hhhage02,scp,h,2021_2,hhhage02
scp,h_2021_2,2021_2,hhhage03,scp,h,2021_2,hhhage03
scp,h_2021_2,2021_2,hcareneed,scp,h,2021_2,hcareneed
scp,h_2021_2,2021_2,hcarebenefits,scp,h,2021_2,hcarebenefits
scp,h_2021_2,2021_2,hcarelevel,scp,h,2021_2,hcarelevel
scp,h_2021_2,2021_2,hmoveinmth,scp,h,2021_2,hmoveinmth
scp,h_2021_2,2021_2,hmoveinyr,scp,h,2021_2,hmoveinyr
scp,h_2021_2,2021_2,hflatsize,scp,h,2021_2,hflatsize
scp,h_2021_2,2021_2,hhousetype,scp,h,2021_2,hhousetype
scp,h_2021_2,2021_2,hdorm01,scp,h,2021_2,hdorm01
scp,h_2021_2,2021_2,hdorm02,scp,h,2021_2,hdorm02
scp,h_2021_2,2021_2,htenancy,scp,h,2021_2,htenancy
scp,h_2021_2,2021_2,hrentcold,scp,h,2021_2,hrentcold
scp,h_2021_2,2021_2,hrentwarm,scp,h,2021_2,hrentwarm
scp,h_2021_2,2021_2,hnorent,scp,h,2021_2,hnorent
scp,h_2021_2,2021_2,hbuildloan1,scp,h,2021_2,hbuildloan1
scp,h_2021_2,2021_2,hbloan1int,scp,h,2021_2,hbloan1int
scp,h_2021_2,2021_2,hrentincyn,scp,h,2021_2,hrentincyn
scp,h_2021_2,2021_2,hrentinc,scp,h,2021_2,hrentinc
scp,h_2021_2,2021_2,hrepaircostyn,scp,h,2021_2,hrepaircostyn
scp,h_2021_2,2021_2,hrepaircost,scp,h,2021_2,hrepaircost
scp,h_2021_2,2021_2,hbuildloan2,scp,h,2021_2,hbuildloan2
scp,h_2021_2,2021_2,hbloan2int,scp,h,2021_2,hbloan2int
scp,h_2021_2,2021_2,hothloan,scp,h,2021_2,hothloan
scp,h_2021_2,2021_2,hothloanint,scp,h,2021_2,hothloanint
scp,h_2021_2,2021_2,hasset01,scp,h,2021_2,hasset01
scp,h_2021_2,2021_2,hasset02,scp,h,2021_2,hasset02
scp,h_2021_2,2021_2,hasset03,scp,h,2021_2,hasset03
scp,h_2021_2,2021_2,hasset04,scp,h,2021_2,hasset04
scp,h_2021_2,2021_2,hasset05,scp,h,2021_2,hasset05
scp,h_2021_2,2021_2,hnoasset,scp,h,2021_2,hnoasset
scp,h_2021_2,2021_2,hreturns,scp,h,2021_2,hreturns
scp,h_2021_2,2021_2,hreturns_NA,scp,h,2021_2,hreturns
scp,h_2021_2,2021_2,hreturnsprox,scp,h,2021_2,hreturnsprox
scp,h_2021_2,2021_2,hwealth,scp,h,2021_2,hwealth
scp,h_2021_2,2021_2,hchildben01,scp,h,2021_2,hchildben01
scp,h_2021_2,2021_2,hchildben02,scp,h,2021_2,hchildben02
scp,h_2021_2,2021_2,hchildben03,scp,h,2021_2,hchildben03
scp,h_2021_2,2021_2,hchildallow01,scp,h,2021_2,hchildallow01
scp,h_2021_2,2021_2,hchildallow02,scp,h,2021_2,hchildallow02
scp,h_2021_2,2021_2,heduben01,scp,h,2021_2,heduben01
scp,h_2021_2,2021_2,heduben02,scp,h,2021_2,heduben02
scp,h_2021_2,2021_2,halg2_01,scp,h,2021_2,halg2_01
scp,h_2021_2,2021_2,halg2_02,scp,h,2021_2,halg2_02
scp,h_2021_2,2021_2,hcareinsur01,scp,h,2021_2,hcareinsur01
scp,h_2021_2,2021_2,hcareinsur02,scp,h,2021_2,hcareinsur02
scp,h_2021_2,2021_2,hlifesup01,scp,h,2021_2,hlifesup01
scp,h_2021_2,2021_2,hlifesup02,scp,h,2021_2,hlifesup02
scp,h_2021_2,2021_2,hsocialben01,scp,h,2021_2,hsocialben01
scp,h_2021_2,2021_2,hsocialben02,scp,h,2021_2,hsocialben02
scp,h_2021_2,2021_2,hhousallow01,scp,h,2021_2,hhousallow01
scp,h_2021_2,2021_2,hhousallow02,scp,h,2021_2,hhousallow02
scp,h_2021_2,2021_2,hhhincnet,scp,h,2021_2,hhhincnet
scp,h_2021_2,2021_2,hsaving01,scp,h,2021_2,hsaving01
scp,h_2021_2,2021_2,hsaving02,scp,h,2021_2,hsaving02
scp,h_2021_2,2021_2,hnosaving,scp,h,2021_2,hnosaving
scp,h_2021_2,2021_2,hsavaccum,scp,h,2021_2,hsavaccum
scp,h_2021_2,2021_2,hsavprecaut,scp,h,2021_2,hsavprecaut
scp,p_2021_1,2021_1,phhtyp,scp,h,2022,hhhtyp
scp,p_2021_1,2021_1,phhbasup,scp,h,2022,hhhbasup
scp,p_2022,2022,pgmode,scp,h,2022,hghmode
scp,p_2022,2022,ankerwechsel,scp,h,2022,ankerwechsel
scp,p_2022,2022,interviewdatum,scp,h,2022,interviewyear
scp,p_2022,2022,interviewdatum,scp,h,2022,interviewmonth
scp,p_2022,2022,interviewdatum,scp,h,2022,interviewday
scp,p_2022,2022,interviewsprache,scp,h,2022,interviewsprache
scp,p_2022,2022,intvollst,scp,h,2022,intvollst
scp,p_2022,2022,phhsize,scp,h,2022,hhhsize
scp,p_2022,2022,phhage01,scp,h,2022,hhhage01
scp,p_2022,2022,phhage02,scp,h,2022,hhhage02
scp,p_2022,2022,phhage03,scp,h,2022,hhhage03
scp,h_2022,2022,hpnameX,scp,h,2022,hpname01
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex01
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat01
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth01
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear01
scp,p_2021_1,2021_1,hpall01,scp,h,2022,hpall01_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall01_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname02
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex02
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat02
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth02
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear02
scp,p_2021_1,2021_1,hpall02,scp,h,2022,hpall02_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall02_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname03
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex03
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat03
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth03
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear03
scp,p_2021_1,2021_1,hpall03,scp,h,2022,hpall03_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall03_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname04
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex04
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat04
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth04
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear04
scp,p_2021_1,2021_1,hpall04,scp,h,2022,hpall04_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall04_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname05
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex05
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat05
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth05
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear05
scp,p_2021_1,2021_1,hpall05,scp,h,2022,hpall05_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall05_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname06
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex06
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat06
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth06
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear06
scp,p_2021_1,2021_1,hpall06,scp,h,2022,hpall06_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall06_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname07
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex07
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat07
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth07
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear07
scp,p_2021_1,2021_1,hpall07,scp,h,2022,hpall07_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall07_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname08
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex08
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat08
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth08
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear08
scp,p_2021_1,2021_1,hpall08,scp,h,2022,hpall08_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall08_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname09
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex09
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat09
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth09
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear09
scp,p_2021_1,2021_1,hpall09,scp,h,2022,hpall09_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall09_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname10
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex10
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat10
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth10
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear10
scp,p_2021_1,2021_1,hpall10,scp,h,2022,hpall10_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall10_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname11
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex11
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat11
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth11
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear11
scp,p_2021_1,2021_1,hpall11,scp,h,2022,hpall11_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall11_v2
scp,h_2022,2022,hpnameX,scp,h,2022,hpname12
scp,h_2022,2022,hpsexX,scp,h,2022,hpsex12
scp,h_2022,2022,hprelatX,scp,h,2022,hprelat12
scp,h_2022,2022,hpbmnthX,scp,h,2022,hpbmnth12
scp,h_2022,2022,hpbyearX,scp,h,2022,hpbyear12
scp,p_2021_1,2021_1,hpall12,scp,h,2022,hpall12_v1
scp,h_2022,2022,hpallX,scp,h,2022,hpall12_v2
scp,h_2022,2022,hcareneed,scp,h,2022,hcareneed
scp,h_2022,2022,hcarebenefits,scp,h,2022,hcarebenefits
scp,h_2022,2022,hcarelevel,scp,h,2022,hcarelevel
scp,h_2022,2022,hmoveinmth,scp,h,2022,hmoveinmth
scp,h_2022,2022,hmoveinyr,scp,h,2022,hmoveinyr
scp,h_2022,2022,hflatsize,scp,h,2022,hflatsize
scp,h_2022,2022,hhousetype,scp,h,2022,hhousetype
scp,h_2022,2022,hdorm01,scp,h,2022,hdorm01
scp,h_2022,2022,hdorm02,scp,h,2022,hdorm02
scp,h_2022,2022,htenancy,scp,h,2022,htenancy
scp,h_2022,2022,hrentcold,scp,h,2022,hrentcold
scp,h_2022,2022,hrentwarm,scp,h,2022,hrentwarm
scp,h_2022,2022,hnorent,scp,h,2022,hnorent
scp,h_2022,2022,hbuildloan1,scp,h,2022,hbuildloan1
scp,h_2022,2022,hbloan1int,scp,h,2022,hbloan1int
scp,h_2022,2022,hrentincyn,scp,h,2022,hrentincyn
scp,h_2022,2022,hrentinc,scp,h,2022,hrentinc
scp,h_2022,2022,hrepaircostyn,scp,h,2022,hrepaircostyn
scp,h_2022,2022,hrepaircost,scp,h,2022,hrepaircost
scp,h_2022,2022,hbuildloan2,scp,h,2022,hbuildloan2
scp,h_2022,2022,hbloan2int,scp,h,2022,hbloan2int
scp,h_2022,2022,hothloan,scp,h,2022,hothloan
scp,h_2022,2022,hothloanint,scp,h,2022,hothloanint
scp,h_2022,2022,hasset01,scp,h,2022,hasset01
scp,h_2022,2022,hasset02,scp,h,2022,hasset02
scp,h_2022,2022,hasset03,scp,h,2022,hasset03
scp,h_2022,2022,hasset04,scp,h,2022,hasset04
scp,h_2022,2022,hasset05,scp,h,2022,hasset05
scp,h_2022,2022,hnoasset,scp,h,2022,hnoasset
scp,h_2022,2022,hreturns,scp,h,2022,hreturns
scp,h_2022,2022,hreturns_NA,scp,h,2022,hreturns
scp,h_2022,2022,hreturnsprox,scp,h,2022,hreturnsprox
scp,h_2022,2022,hwealth,scp,h,2022,hwealth
scp,h_2022,2022,hchildben01,scp,h,2022,hchildben01
scp,h_2022,2022,hchildben02,scp,h,2022,hchildben02
scp,h_2022,2022,hchildben03,scp,h,2022,hchildben03
scp,h_2022,2022,hchildallow01,scp,h,2022,hchildallow01
scp,h_2022,2022,hchildallow02,scp,h,2022,hchildallow02
scp,h_2022,2022,heduben01,scp,h,2022,heduben01
scp,h_2022,2022,heduben02,scp,h,2022,heduben02
scp,h_2022,2022,halg2_01,scp,h,2022,halg2_01
scp,h_2022,2022,halg2_02,scp,h,2022,halg2_02
scp,h_2022,2022,hcareinsur01,scp,h,2022,hcareinsur01
scp,h_2022,2022,hcareinsur02,scp,h,2022,hcareinsur02
scp,h_2022,2022,hlifesup01,scp,h,2022,hlifesup01
scp,h_2022,2022,hlifesup02,scp,h,2022,hlifesup02
scp,h_2022,2022,hsocialben01,scp,h,2022,hsocialben01
scp,h_2022,2022,hsocialben02,scp,h,2022,hsocialben02
scp,h_2022,2022,hhousallow01,scp,h,2022,hhousallow01
scp,h_2022,2022,hhousallow02,scp,h,2022,hhousallow02
scp,h_2022,2022,hhhincnet,scp,h,2022,hhhincnet
scp,h_2022,2022,hsaving01,scp,h,2022,hsaving01
scp,h_2022,2022,hsaving02,scp,h,2022,hsaving02
scp,h_2022,2022,hnosaving,scp,h,2022,hnosaving
scp,h_2022,2022,hsavaccum,scp,h,2022,hsavaccum
scp,h_2022,2022,hsavprecaut,scp,h,2022,hsavprecaut
scp,p_2021_1,2021_1,interviewdatum,scp,hgen,2021_1,hghmonth
scp,p_2021_1,2021_1,interviewdatum,scp,hgen,2021_1,iyear
