input_study,input_dataset,input_version,input_variable,output_study,output_dataset,output_version,output_variable
scp,p_2021_1,2021_1,pgmode,scp,h,2021_1,hghmode
scp,p_2021_1,2021_1,interviewdatum,scp,h,2021_1,interviewyear
scp,p_2021_1,2021_1,interviewdatum,scp,h,2021_1,interviewmonth
scp,p_2021_1,2021_1,interviewdatum,scp,h,2021_1,interviewday
scp,p_2021_1,2021_1,interviewsprache,scp,h,2021_1,interviewsprache
scp,p_2021_1,2021_1,intvollst,scp,h,2021_1,intvollst
scp,p_2021_1,2021_1,phhtyp,scp,h,2021_1,hhhtyp
scp,p_2021_1,2021_1,phhsize,scp,h,2021_1,hhhsize
scp,p_2021_1,2021_1,phhage01,scp,h,2021_1,hhhage01
scp,p_2021_1,2021_1,phhage02,scp,h,2021_1,hhhage02
scp,p_2021_1,2021_1,phhage03,scp,h,2021_1,hhhage03
scp,p_2021_1,2021_1,phhincnet,scp,h,2021_1,hhhincnet
scp,p_2021_1,2021_1,phhbasup,scp,h,2021_1,hhhbasup
scp,p_2021_1,2021_1,hpname01,scp,h,2021_1,hpname01
scp,p_2021_1,2021_1,hpsex01,scp,h,2021_1,hpsex01
scp,p_2021_1,2021_1,hprelat01,scp,h,2021_1,hprelat01
scp,p_2021_1,2021_1,hpbmnth01,scp,h,2021_1,hpbmnth01
scp,p_2021_1,2021_1,hpbyear01,scp,h,2021_1,hpbyear01
scp,p_2021_1,2021_1,hpall01,scp,h,2021_1,hpall01
scp,p_2021_1,2021_1,hpname02,scp,h,2021_1,hpname02
scp,p_2021_1,2021_1,hpsex02,scp,h,2021_1,hpsex02
scp,p_2021_1,2021_1,hprelat02,scp,h,2021_1,hprelat02
scp,p_2021_1,2021_1,hpbmnth02,scp,h,2021_1,hpbmnth02
scp,p_2021_1,2021_1,hpbyear02,scp,h,2021_1,hpbyear02
scp,p_2021_1,2021_1,hpall02,scp,h,2021_1,hpall02
scp,p_2021_1,2021_1,hpname03,scp,h,2021_1,hpname03
scp,p_2021_1,2021_1,hpsex03,scp,h,2021_1,hpsex03
scp,p_2021_1,2021_1,hprelat03,scp,h,2021_1,hprelat03
scp,p_2021_1,2021_1,hpbmnth03,scp,h,2021_1,hpbmnth03
scp,p_2021_1,2021_1,hpbyear03,scp,h,2021_1,hpbyear03
scp,p_2021_1,2021_1,hpall03,scp,h,2021_1,hpall03
scp,p_2021_1,2021_1,hpname04,scp,h,2021_1,hpname04
scp,p_2021_1,2021_1,hpsex04,scp,h,2021_1,hpsex04
scp,p_2021_1,2021_1,hprelat04,scp,h,2021_1,hprelat04
scp,p_2021_1,2021_1,hpbmnth04,scp,h,2021_1,hpbmnth04
scp,p_2021_1,2021_1,hpbyear04,scp,h,2021_1,hpbyear04
scp,p_2021_1,2021_1,hpall04,scp,h,2021_1,hpall04
scp,p_2021_1,2021_1,hpname05,scp,h,2021_1,hpname05
scp,p_2021_1,2021_1,hpsex05,scp,h,2021_1,hpsex05
scp,p_2021_1,2021_1,hprelat05,scp,h,2021_1,hprelat05
scp,p_2021_1,2021_1,hpbmnth05,scp,h,2021_1,hpbmnth05
scp,p_2021_1,2021_1,hpbyear05,scp,h,2021_1,hpbyear05
scp,p_2021_1,2021_1,hpall05,scp,h,2021_1,hpall05
scp,p_2021_1,2021_1,hpname06,scp,h,2021_1,hpname06
scp,p_2021_1,2021_1,hpsex06,scp,h,2021_1,hpsex06
